Order_ID,Date,Region,City,Retailer_Type,Product,Category,Units_Sold,Price_per_Unit,Discount_%,Revenue,Cost_per_Unit,Profit,Promotion,Sales_Channel,Demand_Level,Profit_Margin_%,Season,Retailer_Tier,Promotion_Effectiveness,Stock_Risk_Level,Region_Market_Share_%,Repeat_Retailer,Price_Sensitivity,Growth_vs_Last_Month
13,2023-10-28,West,Ahmedabad,Online,Coke,Carbonated,232,25,15,4930.0,17.92,773.56,Yes,Direct,High,15.69,Monsoon,Bronze,Not Effective,Medium,24.95,Repeat,Discount Lover,Decrease
14,2023-11-02,South,Bengaluru,Online,Minute Maid,Juice,440,45,5,18810.0,32.79,4380.69,Yes,Distributor,Bulk,23.29,Winter,Bronze,Effective,High,24.77,Repeat,Regular Buyer,Increase
15,2023-04-25,West,Surat,Online,Coke,Carbonated,485,30,10,13095.0,17.17,4768.6,Yes,Distributor,Bulk,36.42,Summer,Bronze,Effective,High,24.95,Repeat,Discount Lover,Increase
16,2024-06-29,North,Lucknow,Supermarket,Coke,Carbonated,402,25,5,9547.5,19.6,1667.75,No,Direct,Bulk,17.47,Summer,Gold,Not Effective,High,24.98,Repeat,Regular Buyer,Decrease
17,2024-12-07,East,Bhubaneswar,Kirana,Maaza,Juice,112,45,10,4536.0,31.57,1000.41,No,Direct,Medium,22.05,Winter,Silver,Not Effective,Low,25.3,Repeat,Discount Lover,Increase
18,2023-08-19,East,Kolkata,Supermarket,Sprite,Carbonated,42,30,0,1260.0,17.07,543.02,No,Distributor,Low,43.1,Monsoon,Gold,Not Effective,Low,25.3,Repeat,Premium Buyer,Increase
19,2023-03-11,North,Delhi,Online,Sprite,Carbonated,473,20,10,8514.0,11.43,3108.54,Yes,Direct,Bulk,36.51,Summer,Bronze,Effective,High,24.98,Repeat,Discount Lover,Increase
20,2024-08-07,South,Hyderabad,Supermarket,Minute Maid,Juice,305,35,5,10141.25,25.98,2217.74,No,Distributor,Bulk,21.87,Monsoon,Gold,Not Effective,High,24.77,Repeat,Regular Buyer,Increase
21,2024-03-09,North,Lucknow,Supermarket,Fanta,Carbonated,220,35,0,7700.0,27.83,1576.58,No,Distributor,High,20.48,Summer,Gold,Not Effective,Medium,24.98,Repeat,Premium Buyer,Decrease
22,2023-09-12,East,Patna,Kirana,Coke,Carbonated,108,25,15,2295.0,13.88,796.37,Yes,Distributor,Medium,34.7,Monsoon,Silver,Not Effective,Low,25.3,Repeat,Discount Lover,Increase
23,2023-04-11,North,Lucknow,Supermarket,Maaza,Juice,35,45,0,1575.0,35.01,349.79,No,Distributor,Low,22.21,Summer,Gold,Not Effective,Low,24.98,Repeat,Premium Buyer,Decrease
24,2023-08-07,East,Guwahati,Kirana,Limca,Carbonated,452,35,0,15820.0,17.52,7899.77,Yes,Direct,Bulk,49.94,Monsoon,Silver,Effective,High,25.3,Repeat,Premium Buyer,Decrease
25,2024-12-14,East,Patna,Supermarket,Limca,Carbonated,500,45,15,19125.0,26.51,5872.22,Yes,Distributor,Bulk,30.7,Winter,Gold,Effective,High,25.3,Repeat,Discount Lover,Increase
26,2024-08-21,West,Mumbai,Supermarket,Coke,Carbonated,254,40,5,9652.0,26.09,3024.14,Yes,Distributor,High,31.33,Monsoon,Gold,Not Effective,Medium,24.95,Repeat,Regular Buyer,Increase
27,2023-05-03,North,Chandigarh,Supermarket,Limca,Carbonated,492,40,5,18696.0,20.48,8621.37,No,Direct,Bulk,46.11,Summer,Gold,Not Effective,High,24.98,Repeat,Regular Buyer,Decrease
28,2024-11-16,West,Ahmedabad,Online,Sprite,Carbonated,376,30,5,10716.0,16.18,4633.11,Yes,Direct,Bulk,43.24,Winter,Bronze,Effective,High,24.95,Repeat,Regular Buyer,Decrease
29,2023-01-10,East,Patna,Kirana,Coke,Carbonated,244,40,0,9760.0,22.56,4255.88,Yes,Distributor,High,43.61,Winter,Silver,Not Effective,Medium,25.3,Repeat,Premium Buyer,No Data
30,2024-01-14,West,Mumbai,Online,Sprite,Carbonated,155,25,15,3293.75,17.78,538.38,No,Distributor,High,16.35,Winter,Bronze,Not Effective,Medium,24.95,Repeat,Discount Lover,Increase
31,2023-09-28,West,Mumbai,Online,Sprite,Carbonated,69,20,5,1311.0,13.63,370.6,Yes,Direct,Medium,28.27,Monsoon,Bronze,Not Effective,Low,24.95,Repeat,Regular Buyer,Increase
32,2024-05-15,South,Chennai,Kirana,Maaza,Juice,138,50,0,6900.0,31.35,2573.2,Yes,Distributor,Medium,37.29,Summer,Silver,Not Effective,Low,24.77,Repeat,Premium Buyer,Decrease
33,2024-10-14,North,Jaipur,Supermarket,Sprite,Carbonated,144,25,15,3060.0,15.71,798.1,No,Distributor,Medium,26.08,Monsoon,Gold,Not Effective,Low,24.98,Repeat,Discount Lover,Decrease
34,2023-02-06,North,Chandigarh,Kirana,Maaza,Juice,437,30,5,12454.5,15.38,5734.99,No,Distributor,Bulk,46.05,Winter,Silver,Not Effective,High,24.98,Repeat,Regular Buyer,Increase
35,2023-09-13,West,Pune,Kirana,Minute Maid,Juice,351,20,10,6318.0,15.3,946.01,No,Distributor,Bulk,14.97,Monsoon,Silver,Not Effective,High,24.95,Repeat,Discount Lover,Increase
36,2024-02-27,South,Hyderabad,Online,Sprite,Carbonated,22,25,10,495.0,15.59,152.07,No,Distributor,Low,30.72,Winter,Bronze,Not Effective,Low,24.77,Repeat,Discount Lover,Decrease
37,2023-04-21,West,Pune,Kirana,Minute Maid,Juice,205,50,0,10250.0,28.34,4441.02,No,Direct,High,43.33,Summer,Silver,Not Effective,Medium,24.95,Repeat,Premium Buyer,Increase
38,2023-01-25,West,Pune,Kirana,Sprite,Carbonated,347,25,15,7373.75,18.98,786.77,No,Direct,Bulk,10.67,Winter,Silver,Not Effective,High,24.95,Repeat,Discount Lover,No Data
39,2023-04-29,East,Patna,Supermarket,Coke,Carbonated,459,30,5,13081.5,23.85,2133.45,No,Distributor,Bulk,16.31,Summer,Gold,Not Effective,High,25.3,Repeat,Regular Buyer,Increase
40,2023-11-18,East,Patna,Kirana,Minute Maid,Juice,233,40,0,9320.0,26.92,3047.86,No,Distributor,High,32.7,Winter,Silver,Not Effective,Medium,25.3,Repeat,Premium Buyer,Increase
41,2024-07-05,East,Kolkata,Online,Maaza,Juice,361,45,5,15432.75,23.44,6969.23,No,Direct,Bulk,45.16,Monsoon,Bronze,Not Effective,High,25.3,Repeat,Regular Buyer,Increase
42,2023-11-04,West,Mumbai,Online,Minute Maid,Juice,269,30,15,6859.5,21.27,1136.56,No,Distributor,High,16.57,Winter,Bronze,Not Effective,Medium,24.95,Repeat,Discount Lover,Increase
43,2024-01-24,South,Kochi,Online,Minute Maid,Juice,356,45,5,15219.0,26.56,5762.63,No,Distributor,Bulk,37.86,Winter,Bronze,Not Effective,High,24.77,Repeat,Regular Buyer,Decrease
44,2024-03-16,West,Ahmedabad,Supermarket,Sprite,Carbonated,412,40,10,14832.0,25.31,4405.96,No,Direct,Bulk,29.71,Summer,Gold,Not Effective,High,24.95,Repeat,Discount Lover,Decrease
45,2024-06-11,South,Bengaluru,Supermarket,Fanta,Carbonated,349,45,10,14134.5,35.35,1796.65,Yes,Direct,Bulk,12.71,Summer,Gold,Effective,High,24.77,Repeat,Discount Lover,Decrease
46,2023-01-26,South,Hyderabad,Kirana,Sprite,Carbonated,33,25,15,701.25,18.26,98.55,No,Direct,Low,14.05,Winter,Silver,Not Effective,Low,24.77,Repeat,Discount Lover,No Data
47,2024-02-14,South,Kochi,Supermarket,Limca,Carbonated,134,25,0,3350.0,18.95,810.26,No,Direct,Medium,24.19,Winter,Gold,Not Effective,Low,24.77,Repeat,Premium Buyer,Increase
48,2024-06-14,South,Hyderabad,Supermarket,Minute Maid,Juice,247,20,5,4693.0,10.73,2043.15,No,Direct,High,43.54,Summer,Gold,Not Effective,Medium,24.77,Repeat,Regular Buyer,Decrease
49,2024-05-31,West,Surat,Kirana,Maaza,Juice,228,50,15,9690.0,36.15,1446.7,No,Direct,High,14.93,Summer,Silver,Not Effective,Medium,24.95,Repeat,Discount Lover,Decrease
50,2023-10-11,West,Pune,Supermarket,Minute Maid,Juice,402,50,15,17085.0,29.12,5379.18,No,Direct,Bulk,31.48,Monsoon,Gold,Not Effective,High,24.95,Repeat,Discount Lover,Decrease
51,2023-11-24,South,Chennai,Online,Fanta,Carbonated,467,40,0,18680.0,22.78,8044.01,Yes,Distributor,Bulk,43.06,Winter,Bronze,Effective,High,24.77,Repeat,Premium Buyer,Decrease
52,2024-02-22,South,Bengaluru,Kirana,Limca,Carbonated,179,40,15,6086.0,22.48,2061.72,No,Direct,High,33.88,Winter,Silver,Not Effective,Medium,24.77,Repeat,Discount Lover,Increase
53,2023-01-07,North,Lucknow,Kirana,Limca,Carbonated,492,30,10,13284.0,22.68,2124.93,No,Distributor,Bulk,16.0,Winter,Silver,Not Effective,High,24.98,Repeat,Discount Lover,No Data
54,2024-03-22,East,Bhubaneswar,Kirana,Fanta,Carbonated,258,20,15,4386.0,14.07,754.69,No,Distributor,High,17.21,Summer,Silver,Not Effective,Medium,25.3,Repeat,Discount Lover,Increase
55,2024-06-30,East,Bhubaneswar,Kirana,Maaza,Juice,23,35,0,805.0,22.0,298.99,Yes,Distributor,Low,37.14,Summer,Silver,Not Effective,Low,25.3,Repeat,Premium Buyer,Decrease
56,2023-12-02,North,Jaipur,Kirana,Limca,Carbonated,118,35,10,3717.0,26.74,562.13,No,Direct,Medium,15.12,Winter,Silver,Not Effective,Low,24.98,Repeat,Discount Lover,Decrease
57,2023-01-20,West,Mumbai,Online,Limca,Carbonated,393,40,0,15720.0,24.2,6209.59,No,Distributor,Bulk,39.5,Winter,Bronze,Not Effective,High,24.95,Repeat,Premium Buyer,No Data
58,2023-07-24,North,Delhi,Supermarket,Sprite,Carbonated,439,20,5,8341.0,12.84,2703.64,Yes,Distributor,Bulk,32.41,Monsoon,Gold,Effective,High,24.98,Repeat,Regular Buyer,Increase
59,2023-06-21,East,Patna,Kirana,Fanta,Carbonated,320,40,0,12800.0,21.97,5771.14,No,Distributor,Bulk,45.09,Summer,Silver,Not Effective,High,25.3,Repeat,Premium Buyer,Decrease
60,2024-11-24,North,Jaipur,Online,Maaza,Juice,474,35,15,14101.5,19.58,4819.41,No,Distributor,Bulk,34.18,Winter,Bronze,Not Effective,High,24.98,Repeat,Discount Lover,Increase
61,2024-09-06,North,Jaipur,Kirana,Minute Maid,Juice,422,20,0,8440.0,12.57,3135.35,No,Distributor,Bulk,37.15,Monsoon,Silver,Not Effective,High,24.98,Repeat,Premium Buyer,Increase
62,2024-05-16,West,Mumbai,Online,Limca,Carbonated,64,35,10,2016.0,26.2,339.11,No,Distributor,Medium,16.82,Summer,Bronze,Not Effective,Low,24.95,Repeat,Discount Lover,Increase
63,2024-06-18,East,Bhubaneswar,Online,Minute Maid,Juice,343,30,15,8746.5,22.43,1052.46,No,Direct,Bulk,12.03,Summer,Bronze,Not Effective,High,25.3,Repeat,Discount Lover,Increase
64,2023-10-13,West,Pune,Online,Coke,Carbonated,461,35,5,15328.25,23.48,4502.39,No,Direct,Bulk,29.37,Monsoon,Bronze,Not Effective,High,24.95,Repeat,Regular Buyer,Decrease
65,2023-11-29,West,Mumbai,Kirana,Limca,Carbonated,103,35,5,3424.75,20.21,1342.84,No,Direct,Medium,39.21,Winter,Silver,Not Effective,Low,24.95,Repeat,Regular Buyer,Decrease
66,2023-09-05,North,Chandigarh,Kirana,Coke,Carbonated,378,35,15,11245.5,20.02,3676.65,No,Direct,Bulk,32.69,Monsoon,Silver,Not Effective,High,24.98,Repeat,Discount Lover,Increase
67,2023-10-29,East,Kolkata,Kirana,Coke,Carbonated,123,35,5,4089.75,23.61,1186.17,No,Direct,Medium,29.0,Monsoon,Silver,Not Effective,Low,25.3,Repeat,Regular Buyer,Decrease
68,2024-12-20,East,Patna,Supermarket,Fanta,Carbonated,242,30,10,6534.0,16.09,2641.21,Yes,Direct,High,40.42,Winter,Gold,Not Effective,Medium,25.3,Repeat,Discount Lover,Increase
69,2023-08-10,North,Chandigarh,Online,Sprite,Carbonated,388,35,10,12222.0,27.75,1453.3,No,Direct,Bulk,11.89,Monsoon,Bronze,Not Effective,High,24.98,Repeat,Discount Lover,Increase
70,2023-08-21,North,Chandigarh,Kirana,Fanta,Carbonated,194,25,10,4365.0,16.51,1162.83,Yes,Distributor,High,26.64,Monsoon,Silver,Not Effective,Medium,24.98,Repeat,Discount Lover,Decrease
71,2023-05-10,North,Jaipur,Kirana,Minute Maid,Juice,336,50,15,14280.0,25.18,5818.18,Yes,Direct,Bulk,40.74,Summer,Silver,Effective,High,24.98,Repeat,Discount Lover,Increase
72,2023-07-08,East,Guwahati,Kirana,Fanta,Carbonated,36,30,15,918.0,15.59,356.83,Yes,Distributor,Low,38.87,Monsoon,Silver,Not Effective,Low,25.3,Repeat,Discount Lover,Decrease
73,2024-07-30,North,Chandigarh,Kirana,Sprite,Carbonated,495,30,0,14850.0,16.07,6897.3,No,Distributor,Bulk,46.45,Monsoon,Silver,Not Effective,High,24.98,Repeat,Premium Buyer,Decrease
74,2023-11-01,East,Guwahati,Online,Limca,Carbonated,450,40,15,15300.0,27.45,2946.45,No,Distributor,Bulk,19.26,Winter,Bronze,Not Effective,High,25.3,Repeat,Discount Lover,Decrease
75,2024-11-07,South,Hyderabad,Supermarket,Fanta,Carbonated,51,25,5,1211.25,13.06,545.04,Yes,Direct,Medium,45.0,Winter,Gold,Not Effective,Low,24.77,Repeat,Regular Buyer,Decrease
76,2023-02-03,East,Guwahati,Online,Fanta,Carbonated,128,30,10,3456.0,19.09,1012.96,No,Distributor,Medium,29.31,Winter,Bronze,Not Effective,Low,25.3,Repeat,Discount Lover,Increase
77,2023-04-28,West,Pune,Supermarket,Limca,Carbonated,288,25,5,6840.0,18.7,1454.48,No,Distributor,High,21.26,Summer,Gold,Not Effective,Medium,24.95,Repeat,Regular Buyer,Increase
78,2024-08-05,South,Chennai,Online,Maaza,Juice,481,30,15,12265.5,21.2,2069.21,Yes,Direct,Bulk,16.87,Monsoon,Bronze,Effective,High,24.77,Repeat,Discount Lover,Increase
79,2023-03-24,West,Surat,Supermarket,Limca,Carbonated,316,20,15,5372.0,13.62,1067.36,No,Distributor,Bulk,19.87,Summer,Gold,Not Effective,High,24.95,Repeat,Discount Lover,Increase
80,2023-10-03,South,Bengaluru,Kirana,Minute Maid,Juice,305,20,5,5795.0,13.91,1552.74,No,Distributor,Bulk,26.79,Monsoon,Silver,Not Effective,High,24.77,Repeat,Regular Buyer,Decrease
81,2024-04-26,East,Guwahati,Supermarket,Coke,Carbonated,188,35,10,5922.0,18.6,2425.52,No,Direct,High,40.96,Summer,Gold,Not Effective,Medium,25.3,Repeat,Discount Lover,Increase
82,2024-11-09,East,Guwahati,Kirana,Fanta,Carbonated,493,35,0,17255.0,20.8,6999.4,No,Distributor,Bulk,40.56,Winter,Silver,Not Effective,High,25.3,Repeat,Premium Buyer,Decrease
83,2024-07-09,East,Kolkata,Kirana,Minute Maid,Juice,246,35,0,8610.0,21.3,3370.52,Yes,Direct,High,39.15,Monsoon,Silver,Not Effective,Medium,25.3,Repeat,Premium Buyer,Decrease
84,2024-07-16,North,Chandigarh,Supermarket,Fanta,Carbonated,77,30,15,1963.5,19.36,472.59,No,Distributor,Medium,24.07,Monsoon,Gold,Not Effective,Low,24.98,Repeat,Discount Lover,Decrease
85,2023-01-15,South,Chennai,Supermarket,Maaza,Juice,292,35,0,10220.0,26.33,2530.25,Yes,Direct,High,24.76,Winter,Gold,Effective,Medium,24.77,Repeat,Premium Buyer,No Data
86,2023-10-26,North,Chandigarh,Kirana,Limca,Carbonated,270,45,10,10935.0,29.01,3101.29,No,Distributor,High,28.36,Monsoon,Silver,Not Effective,Medium,24.98,Repeat,Discount Lover,Increase
87,2023-07-15,East,Bhubaneswar,Kirana,Limca,Carbonated,481,40,5,18278.0,23.31,7063.5,No,Direct,Bulk,38.64,Monsoon,Silver,Not Effective,High,25.3,Repeat,Regular Buyer,Decrease
88,2023-11-02,West,Mumbai,Kirana,Fanta,Carbonated,438,40,15,14892.0,25.36,3784.95,No,Direct,Bulk,25.42,Winter,Silver,Not Effective,High,24.95,Repeat,Discount Lover,Decrease
89,2023-11-26,West,Surat,Kirana,Limca,Carbonated,455,25,5,10806.25,14.25,4321.72,No,Distributor,Bulk,39.99,Winter,Silver,Not Effective,High,24.95,Repeat,Regular Buyer,Decrease
90,2024-01-26,West,Surat,Online,Minute Maid,Juice,207,45,5,8849.25,23.0,4088.3,No,Direct,High,46.2,Winter,Bronze,Not Effective,Medium,24.95,Repeat,Regular Buyer,Increase
91,2024-06-22,North,Lucknow,Online,Coke,Carbonated,476,35,0,16660.0,21.8,6280.93,No,Distributor,Bulk,37.7,Summer,Bronze,Not Effective,High,24.98,Repeat,Premium Buyer,Decrease
92,2023-12-13,North,Lucknow,Online,Fanta,Carbonated,329,45,15,12584.25,34.0,1398.63,No,Direct,Bulk,11.11,Winter,Bronze,Not Effective,High,24.98,Repeat,Discount Lover,Increase
93,2023-02-06,West,Surat,Supermarket,Maaza,Juice,326,20,5,6194.0,15.53,1132.66,No,Distributor,Bulk,18.29,Winter,Gold,Not Effective,High,24.95,Repeat,Regular Buyer,Increase
94,2024-12-21,East,Kolkata,Supermarket,Minute Maid,Juice,456,20,15,7752.0,11.8,2372.66,Yes,Distributor,Bulk,30.61,Winter,Gold,Effective,High,25.3,Repeat,Discount Lover,Increase
95,2024-01-03,West,Mumbai,Online,Fanta,Carbonated,201,35,5,6683.25,21.83,2296.11,Yes,Distributor,High,34.36,Winter,Bronze,Not Effective,Medium,24.95,Repeat,Regular Buyer,Increase
96,2024-09-16,South,Hyderabad,Supermarket,Coke,Carbonated,455,35,5,15128.75,23.62,4380.22,No,Direct,Bulk,28.95,Monsoon,Gold,Not Effective,High,24.77,Repeat,Regular Buyer,Decrease
97,2024-11-13,West,Surat,Supermarket,Fanta,Carbonated,14,50,15,595.0,35.16,102.7,No,Distributor,Low,17.26,Winter,Gold,Not Effective,Low,24.95,Repeat,Discount Lover,Decrease
98,2023-11-03,East,Patna,Kirana,Maaza,Juice,337,35,10,10615.5,20.67,3648.94,No,Direct,Bulk,34.37,Winter,Silver,Not Effective,High,25.3,Repeat,Discount Lover,Decrease
99,2024-08-08,North,Chandigarh,Online,Limca,Carbonated,193,40,10,6948.0,23.54,2404.25,No,Direct,High,34.6,Monsoon,Bronze,Not Effective,Medium,24.98,Repeat,Discount Lover,Increase
100,2024-12-03,West,Mumbai,Kirana,Maaza,Juice,408,45,0,18360.0,32.56,5075.59,No,Distributor,Bulk,27.64,Winter,Silver,Not Effective,High,24.95,Repeat,Premium Buyer,Increase
101,2023-07-14,West,Pune,Online,Minute Maid,Juice,327,30,5,9319.5,23.13,1755.78,No,Distributor,Bulk,18.84,Monsoon,Bronze,Not Effective,High,24.95,Repeat,Regular Buyer,Increase
102,2024-08-16,West,Surat,Online,Coke,Carbonated,196,45,5,8379.0,26.48,3188.14,Yes,Direct,High,38.05,Monsoon,Bronze,Not Effective,Medium,24.95,Repeat,Regular Buyer,Increase
103,2024-07-06,South,Hyderabad,Kirana,Sprite,Carbonated,458,30,10,12366.0,17.31,4436.77,No,Direct,Bulk,35.88,Monsoon,Silver,Not Effective,High,24.77,Repeat,Discount Lover,Increase
104,2023-03-19,West,Mumbai,Kirana,Limca,Carbonated,82,50,5,3895.0,35.86,954.21,No,Direct,Medium,24.5,Summer,Silver,Not Effective,Low,24.95,Repeat,Regular Buyer,Increase
105,2023-09-28,North,Lucknow,Kirana,Coke,Carbonated,284,20,15,4828.0,14.49,711.68,No,Direct,High,14.74,Monsoon,Silver,Not Effective,Medium,24.98,Repeat,Discount Lover,Increase
106,2023-08-28,West,Mumbai,Supermarket,Minute Maid,Juice,251,20,10,4518.0,11.33,1674.62,No,Direct,High,37.07,Monsoon,Gold,Not Effective,Medium,24.95,Repeat,Discount Lover,Decrease
107,2023-05-24,West,Surat,Supermarket,Coke,Carbonated,33,20,10,594.0,10.7,241.01,No,Distributor,Low,40.57,Summer,Gold,Not Effective,Low,24.95,Repeat,Discount Lover,Decrease
108,2024-11-17,East,Guwahati,Kirana,Fanta,Carbonated,496,45,15,18972.0,32.31,2946.69,No,Distributor,Bulk,15.53,Winter,Silver,Not Effective,High,25.3,Repeat,Discount Lover,Decrease
109,2023-02-03,East,Guwahati,Kirana,Fanta,Carbonated,363,30,5,10345.5,23.55,1795.04,No,Distributor,Bulk,17.35,Winter,Silver,Not Effective,High,25.3,Repeat,Regular Buyer,Increase
110,2024-02-12,West,Ahmedabad,Supermarket,Coke,Carbonated,151,25,0,3775.0,18.68,954.1,No,Distributor,High,25.27,Winter,Gold,Not Effective,Medium,24.95,Repeat,Premium Buyer,Decrease
111,2023-09-07,North,Delhi,Supermarket,Fanta,Carbonated,74,50,5,3515.0,36.48,815.68,Yes,Distributor,Medium,23.21,Monsoon,Gold,Not Effective,Low,24.98,Repeat,Regular Buyer,Increase
112,2024-09-02,South,Chennai,Supermarket,Sprite,Carbonated,11,30,5,313.5,19.86,95.02,No,Distributor,Low,30.31,Monsoon,Gold,Not Effective,Low,24.77,Repeat,Regular Buyer,Increase
113,2024-01-02,North,Chandigarh,Kirana,Coke,Carbonated,414,50,5,19665.0,25.24,9217.0,No,Distributor,Bulk,46.87,Winter,Silver,Not Effective,High,24.98,Repeat,Regular Buyer,Increase
114,2023-04-27,South,Kochi,Online,Maaza,Juice,391,20,15,6647.0,12.17,1887.66,No,Distributor,Bulk,28.4,Summer,Bronze,Not Effective,High,24.77,Repeat,Discount Lover,Increase
115,2023-02-14,East,Bhubaneswar,Supermarket,Maaza,Juice,382,50,10,17190.0,39.46,2116.13,No,Direct,Bulk,12.31,Winter,Gold,Not Effective,High,25.3,Repeat,Discount Lover,Decrease
116,2023-04-21,East,Guwahati,Online,Minute Maid,Juice,261,45,15,9983.25,23.59,3826.08,Yes,Distributor,High,38.32,Summer,Bronze,Effective,Medium,25.3,Repeat,Discount Lover,Increase
117,2024-10-01,North,Chandigarh,Kirana,Fanta,Carbonated,334,40,10,12024.0,27.17,2949.65,No,Direct,Bulk,24.53,Monsoon,Silver,Not Effective,High,24.98,Repeat,Discount Lover,Increase
118,2023-04-28,East,Kolkata,Kirana,Minute Maid,Juice,446,45,5,19066.5,34.49,3684.3,No,Direct,Bulk,19.32,Summer,Silver,Not Effective,High,25.3,Repeat,Regular Buyer,Increase
119,2023-04-08,East,Guwahati,Supermarket,Limca,Carbonated,170,35,10,5355.0,21.43,1711.87,No,Direct,High,31.97,Summer,Gold,Not Effective,Medium,25.3,Repeat,Discount Lover,Increase
120,2023-04-06,North,Delhi,Online,Coke,Carbonated,231,20,10,4158.0,13.34,1076.87,No,Direct,High,25.9,Summer,Bronze,Not Effective,Medium,24.98,Repeat,Discount Lover,Decrease
121,2024-11-12,North,Lucknow,Kirana,Fanta,Carbonated,491,50,15,20867.5,35.82,3281.89,No,Direct,Bulk,15.73,Winter,Silver,Not Effective,High,24.98,Repeat,Discount Lover,Decrease
122,2024-06-03,West,Mumbai,Online,Maaza,Juice,118,25,15,2507.5,13.31,936.73,Yes,Direct,Medium,37.36,Summer,Bronze,Not Effective,Low,24.95,Repeat,Discount Lover,Increase
123,2023-08-20,North,Jaipur,Online,Maaza,Juice,423,35,0,14805.0,24.41,4480.74,No,Direct,Bulk,30.27,Monsoon,Bronze,Not Effective,High,24.98,Repeat,Premium Buyer,Decrease
124,2024-12-20,North,Chandigarh,Supermarket,Fanta,Carbonated,400,30,10,10800.0,16.63,4146.94,No,Direct,Bulk,38.4,Winter,Gold,Not Effective,High,24.98,Repeat,Discount Lover,Increase
125,2024-10-10,North,Chandigarh,Supermarket,Minute Maid,Juice,25,20,5,475.0,12.72,156.95,No,Direct,Low,33.04,Monsoon,Gold,Not Effective,Low,24.98,Repeat,Regular Buyer,Increase
126,2024-09-02,West,Ahmedabad,Online,Maaza,Juice,53,20,5,1007.0,13.71,280.53,Yes,Distributor,Medium,27.86,Monsoon,Bronze,Not Effective,Low,24.95,Repeat,Regular Buyer,Decrease
127,2024-03-10,West,Surat,Online,Minute Maid,Juice,258,40,15,8772.0,22.59,2944.6,No,Distributor,High,33.57,Summer,Bronze,Not Effective,Medium,24.95,Repeat,Discount Lover,Increase
128,2023-10-18,West,Surat,Supermarket,Coke,Carbonated,357,45,15,13655.25,26.66,4136.32,No,Direct,Bulk,30.29,Monsoon,Gold,Not Effective,High,24.95,Repeat,Discount Lover,Decrease
129,2023-11-05,North,Delhi,Supermarket,Sprite,Carbonated,494,25,5,11732.5,14.67,4485.1,No,Distributor,Bulk,38.23,Winter,Gold,Not Effective,High,24.98,Repeat,Regular Buyer,Decrease
130,2023-05-13,East,Guwahati,Kirana,Sprite,Carbonated,204,40,5,7752.0,30.0,1631.95,No,Distributor,High,21.05,Summer,Silver,Not Effective,Medium,25.3,Repeat,Regular Buyer,Increase
